correct value,prediction
0.0,0.29596838
1.0,0.48371023
1.0,1.2797477
0.0,0.32477266
1.0,0.8877345
1.0,0.4441818
1.0,1.0176833
0.0,0.2015081
1.0,1.0147324
1.0,0.43018085
1.0,0.42267585
1.0,0.2903681
1.0,0.7951747
0.0,0.29055628
0.0,0.24117637
1.0,0.63231903
1.0,0.91869134
1.0,0.73059434
1.0,0.38742048
0.0,0.26267844
1.0,1.4231803
0.0,0.2600839
0.0,0.20127821
1.0,1.2640676
1.0,1.1137052
0.0,0.18318084
1.0,0.42628396
0.0,0.1955226
1.0,0.9371502
0.0,0.29573366
1.0,0.6372604
1.0,0.29891548
0.0,0.3199868
1.0,1.5114102
1.0,0.63815004
1.0,0.45596838
0.0,0.2846103
1.0,1.0517502
1.0,0.83821654
0.0,0.25066358
1.0,0.4870457
1.0,0.4049198
1.0,1.1871946
1.0,0.62570477
1.0,0.7226997
0.0,0.21573445
0.0,0.302085
1.0,0.5767083
1.0,0.9250092
1.0,1.6408675
1.0,0.3752165
1.0,0.7685817
0.0,0.35109997
1.0,0.6816722
0.0,0.2925092
0.0,0.16483903
1.0,1.1730821
1.0,1.04077
0.0,0.21300024
1.0,1.8305564
1.0,0.7135585
1.0,0.7614254
0.0,0.31835654
1.0,1.180203
1.0,2.0168004
0.0,0.25461328
0.0,0.23614872
0.0,0.1644933
1.0,0.7586154
0.0,0.28592402
0.0,0.32244796
1.0,0.35709226
0.0,0.2021361
0.0,0.2890122
0.0,0.3609227
1.0,1.1221232
1.0,1.1685345
1.0,0.79689807
1.0,0.4436257
1.0,1.2176108
0.0,0.25482523
1.0,0.3729965
1.0,1.0913699
0.0,0.17056853
1.0,0.7877177
1.0,0.59820783
0.0,0.28262705
1.0,1.1551864
1.0,0.9562976
1.0,1.7113211
1.0,1.8623619
1.0,0.4335661
1.0,0.39553708
1.0,1.2941766
1.0,1.7327201
1.0,0.49960148
0.0,0.3324219
1.0,0.87507683
1.0,0.48551363
0.0,0.23200837
1.0,2.5484157
0.0,0.27673653
1.0,0.36870155
1.0,0.37465304
0.0,0.344818
1.0,0.92414635
1.0,0.46491235
0.0,0.13158517
1.0,0.94220394
1.0,0.40258992
1.0,1.2483814
1.0,1.2434478
0.0,0.2695133
1.0,0.69410986
0.0,0.24787778
1.0,0.3573995
0.0,0.15991598
1.0,0.49173826
1.0,0.8384295
1.0,0.5386873
0.0,0.3037691
0.0,0.3528031
1.0,0.43886453
1.0,0.38516736
0.0,0.20851657
1.0,0.94300646
0.0,0.3538899
1.0,1.7011244
1.0,1.0573623
1.0,0.3985663
1.0,0.5201723
1.0,1.2290285
0.0,0.30388677
1.0,1.2124047
1.0,1.4187522
1.0,0.7744835
1.0,0.79543835
0.0,0.23142686
0.0,0.16289866
0.0,0.14989927
1.0,0.40140432
1.0,1.1004443
1.0,0.37255922
1.0,0.3854708
0.0,0.32974038
1.0,0.58264023
0.0,0.28936285
0.0,0.20442927
1.0,0.8194843
0.0,0.28689194
0.0,0.22806656
0.0,0.30034792
0.0,0.224224
1.0,0.4230178
0.0,0.36938763
1.0,0.5351805
0.0,0.3586514
0.0,0.3530852
1.0,1.1335683
1.0,1.0429733
1.0,0.36734772
0.0,0.2520247
1.0,0.36724585
1.0,1.0240431
1.0,0.44774848
1.0,1.0451941
1.0,1.5214167
1.0,0.9485069
1.0,0.44961804
0.0,0.19697756
1.0,0.8167693
1.0,1.5444891
0.0,0.32497403
0.0,0.24844468
1.0,0.7219537
1.0,0.97689265
1.0,0.6350625
0.0,0.339459
0.0,0.13876274
1.0,0.45204782
1.0,0.86149156
1.0,0.9587466
1.0,2.7556572
1.0,0.66450673
0.0,0.24132276
1.0,0.42838937
0.0,0.22003075
1.0,0.8252499
0.0,0.35828823
0.0,0.19315565
0.0,0.32051048
1.0,1.2417564
1.0,0.70218647
1.0,0.6417337
1.0,1.2565172
1.0,0.35899353
0.0,0.25895196
1.0,1.1891308
1.0,0.43530393
